ABNMS, Abington Middle School
ABNHS, Abington Senior High School
ASJNS, Abram S Jenks School
PLMBS, Academy at Palumbo
GRFLS, Albert M Greenfield School
HMLTS, Andrew Hamilton School
AFRKS, Anne Frank Elementary School
ARBWS, Archbishop Walsh Academy
ARRWS, Arrowhead Elementary School
BLCYS, Bala Cynwyd Middle School
BLDMS, Baldi Middle School
BTWMS, Beaty-Warren Middle School
BFRKS, Benjamin Franklin High School
BLTMS, Boys Latin of Philadelphia Charter Middle School
BYLTS, Boys Latin of Philadelphia Charter School
BRADS, Bradford Area High School
BRDVS, Bridge Valley Elementary School
BRENS, Bright Endeavors Now
CLVCS, Calvary Christian Academy
CHCAS, Camp Hill Christian Academy
CYHES, Cayuga Heights Elementary School
CNTES, Central Elementary School
CNTHS, Central High School
CHFDS, Chaddsford Elementary
CFPMS, Charles F Patton Middle School
CCCHS, Christopher Columbus Charter School
CLMES, Claymont Elementary School
COMWS, Commonwealth Charter Academy
CNSTS, Conestoga High School
CNRNS, Council Rock High School North
CNRKS, Council Rock High School South
CMVLS, Cumberland Valley High School
DNBHS, Daniel Boone Area High School
DNGES, Downingtown East High School
DNGMS, Downingtown Middle School
DTNKS, Dutch Neck Elementary School
GLVLS, Eagleville Elementary School
EGSES, East Goshen Elementary School
ESTRS, East Stroudsburg South High School
EVNES, East Vincent Elementary School
EWRES, East Ward Elementary School
ELCMS, Eastern Lebanon County Middle School
ELMAS, Elmwood Academy
EMMHS, Emmaus High School
EPHRS, Ephrata High School
EPINS, Ephrata Intermediate School
EPSCS, Episcopal Academy
ERDHS, Erdenheim Elementary School
EXTNS, Exton Elementary School
FRTZS, Floyd C Fretz Middle School
FGLES, Fogelsville Elementary School
FACTS, Folk Arts-Cultural Treasures Charter School
FTCMS, Fort Couch Middle School
FRNES, Franklin Elementary School
FJJNS, Fred J Jaindl Elementary School
FRICS, French International School of Philadelphia Lower School
FRIUS, French International School of Philadelphia Upper School
FRSLS, Friends Select School
FGTTS, Fugett Middle School
CHSES, G W Carver High School of Engineering & Science
GRNTS, Garnet Valley Elementary School
GNVHS, Garnet Valley High School
GNVMS, Garnet Valley Middle School
MCLLS, General George A McCall Elementary and Middle School
GWSHS, George Washington High School
GRMAS, Germantown Academy
GRMFS, Germantown Friends School
GTTBS, Gettysburg Area High School
GLMNS, Gilman School
GAMPS, Girard Academic Music Program
GLDES, Gladwyne Elementary School
GDHPS, Good Hope Middle School
GRVHS, Great Valley High School
GRVMS, Great Valley Middle School
GRVLS, Green Valley Elementary School
GLPES, Gulph Elementary School
HMPDS, Hampden Elementary School
HMPMS, Hampton Middle School
HRRTS, Harriton High School
HRTES, Hartshorn Elementary School
HRSMS, Hershey Middle School
HGLES, Highland Elementary School
HLLMS, Holland Middle School
HGHHS, Houghton Area Homeschool
INLES, Indian Lane Elementary School
ITHNS, Ithan Elementary School
JJNES, James Johnson Elementary School
MSTRS, Julia R Masterman School
KDMES, Kathryn D Markley Elementary School
LKWES, Lakewood Elementary School
LMNTS, Lancaster Mennonite High School
LHSHS, Laurel Highlands Senior High School
LTRES, Letort Elementary School
LWSHS, Lewisburg Area High School
LBLES, Liberty Bell Elementary School
LNVLS, Lionville Middle School
LMRNS, Lower Merion High School
LZCCC, Luzerne County Community College
MNTHS, Manheim Township High School
MRSCS, Marsh Creek Sixth Grade Center
MRSES, Marshall Elementary School
MRSMS, Marshall Middle School
MRTES, Martic Elementary
HOWES, Mary C Howse Elementary School
MSTCS, MaST Community Charter School
MCSCS, Mathematics, Civics & Science Charter School
MLLMS, Mellon Middle School
MRNES, Merion Elementary School
MTHHS, Methacton High School
MPKES, Mifflin Park Elementary School
MLCES, Mill Creek Elementary School
MTLES, Mount Lebanon Elementary School
MTLMS, Mount Lebanon Montessori School
MTPES, Mount Pleasant Elementary School
MNVMS, Mountain View Middle School
NVPRS, Nativity Preparatory School of Wilmington
NCMBS, New Cumberland Middle School
